Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,AddRmsNorm,AI_VECTOR_CORE,23,1790,2.140,1764309593945931.170	,1764309593945933.310	
4,trans_TransData_1,AI_VECTOR_CORE,23,1791,10.560,1764309593945933.350	,1764309593945943.910	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,1792,586.080,1764309593945943.930	,1764309593946530.010	
4,rope_custom_true_half,AI_CORE,23,1793,4.240,1764309593946530.030	,1764309593946534.270	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,1794,2.700,1764309593946534.290	,1764309593946536.990	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1795,18.700,1764309593946537.010	,1764309593946555.710	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1795,16.440,1764309593946538.150	,1764309593946554.590	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1796,587.900,1764309593946555.730	,1764309593947143.630	
4,AddRmsNorm,AI_VECTOR_CORE,23,1797,2.020,1764309593947143.670	,1764309593947145.690	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1798,25.460,1764309593947145.710	,1764309593947171.170	
4,SwiGlu,AI_VECTOR_CORE,23,1799,5.020,1764309593947171.190	,1764309593947176.210	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1800,589.700,1764309593947176.230	,1764309593947765.930	
4,AddRmsNorm,AI_VECTOR_CORE,23,1801,1.980,1764309593947765.950	,1764309593947767.930	
4,trans_TransData_1,AI_VECTOR_CORE,23,1802,11.480,1764309593947767.970	,1764309593947779.450	
4,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,23,1803,8.660,1764309593947779.490	,1764309593947788.150	
4,rope_custom_true_half,AI_CORE,23,1804,6.460,1764309593947788.170	,1764309593947794.630	
4,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,23,1805,2.960,1764309593947794.650	,1764309593947797.610	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1806,581.940,1764309593947797.650	,1764309593948379.590	
4,PagedAttentionMaskNdKernel,MIX_AIC,23,1806,580.160,1764309593947798.690	,1764309593948378.850	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1807,12.320,1764309593948379.610	,1764309593948391.930	
4,AddRmsNorm,AI_VECTOR_CORE,23,1808,2.020,1764309593948391.970	,1764309593948393.990	
4,aclnnMatmulWeightNz_MatMulCommon_MatMulV2,AI_CORE,23,1809,603.620,1764309593948394.010	,1764309593948997.630	
